Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,APP Zhenjiang Jindong Mill power station,290,32.1944,119.6998,Coal
China,Aba Minjiang River Jiangseba,128,31.4837,103.6032,Hydro
China,Abag Banner Huiteng Liang Phase 1,49,43.35,115.9,Wind
China,Ahai,4750,27.3488,100.5061,Hydro
China,Aksu Cogen power station,700,41.1542,80.3997,Coal
China,Aksu Xuzhou power station,400,41.0791,80.1685,Coal
China,Alashan,9,34.5434,102.6284,Hydro
China,Alashan Left Qi Wusitai power station,600,39.4463,106.6676,Coal
China,Alashanzuoqi Bayanha,20,39.14,105.95,Solar
China,Anda Cogen power station,100,46.3996,125.2982,Coal
China,Angu,772,29.52,103.64,Hydro
China,Anguoer,25,35.2327,103.5145,Hydro
China,Anhui Bengbu power station,2520,32.7845,117.115,Coal
China,Anhui Huaibei Qinan Coal Mine Methane,3,33.42,117,Gas
China,Anhui Hwasu power station,600,32.5856,117.2532,Coal
China,Anhui Laian Baoshan Wind,49,32.6739,118.4318,Wind
China,Anhui Laian Longtougang Wind,49,32.601,118.535,Wind
China,Anhui Laian Longwosi Wind,49,32.67,118.45,Wind
China,Anhui Xuancheng power station,1320,30.8695,118.8648,Coal
China,Anjiang,140,27.2869,110.0994,Hydro
China,Ankang,800,32.6,108.88,Hydro
China,Anning River Canyon (Phase 1) Dechang County,16,27.128,102.977,Wind
China,Anning River Wanao Xichang City,33,27.5667,102.1922,Hydro
China,Anningdu Hydro,20,32.1131,109.5711,Hydro
China,Anqing City Landfill,24,30.5244,116.5239,Gas
China,Ansai Wangjiawan,49,37.2436,109.0554,Wind
China,Ansha Dam,115,26.0279,117.1125,Hydro
China,Anshan Steel Company No 2 power station,345,41.133,122.9649,Coal
China,Antu 303,6,42.5611,128.2203,Hydro
China,Antu Gudonghe I Hydro,3,42.7547,128.1975,Hydro
China,Anwen Songzao power station,1620,28.6411,106.7531,Coal
China,Anyang Tanggou Landfill,3,36.0328,114.2806,Gas
China,Aoweiqianyuan Captive power station,100,39.2507,111.143,Coal
China,Aral Xinhu Cogen power station,800,40.5897,81.1955,Coal
China,Baguanhe Washery power station,270,26.5957,101.6119,Coal
China,Baibuluo,111.75,41.16,114.37,Wind
China,Baiguoshu,6,28.4625,108.5092,Hydro
China,Baihetan Dam,13050,28.2606,103.6484,Hydro
China,Baihugou Small,12,31.9706,110.3322,Hydro
China,Bailanhe,1200,30.6,115.45,Hydro
China,Bailianhe,300,30.59,115.45,Hydro
China,Bailongtan,192,23.86,108.13,Hydro
China,Baimianxia Shaanxi,4,33.0527,107.9625,Hydro
China,Baise,540,23.927,106.4557,Hydro
China,Baise Coal,1320,23.7882,106.8155,Coal
China,Baise Smelter power station,700,23.7857,106.8202,Coal
China,Baise Tianyang power station,300,23.7883,106.815,Coal
China,Baishan,1500,42.73,127.22,Hydro
China,Baishan - Hunjiang 2 Coal,600,41.97,126.473,Coal
China,Baishi,30,40.9583,121.1056,Wind
China,Baishi (Guizhou) Dam,420,26.9558,109.4709,Hydro
China,Baishi (Liaoning) Dam,9.6,41.6794,121.0039,Hydro
China,Baishui River Shiji,32,33.0178,113.4861,Hydro
China,Baitao cogen power station,100,29.5856,107.5165,Coal
China,Baiyang Songpan Sichuan,30,32.1847,104.1042,Hydro
China,Baiyanghe power station,890,36.4719,117.8427,Coal
China,Baiyun Ebo Inner Mongolia Luneng Phase 2,49,41.6778,109.9572,Wind
China,Baiyunebo,45,41.7061,109.9742,Wind
China,Banduo,360,35.31,100.27,Hydro
China,Banmei,52.8,23.02,116.55,Wind
China,Banna Liusha River Fifth Level,8,22.1531,100.6931,Hydro
China,Banshan Coal,250,30.3612,120.1435,Coal
China,Banshan Gas,1170,30.36,120.14,Gas
China,Baoding Landfill,1,38.859,115.5378,Gas
China,Baoding Northwest Suberb power station,350,38.9618,115.3672,Coal
China,Baoji Lingyuan Landfill,1,34.4253,107.1047,Gas
China,Baoquan,1200,35.48,113.48,Hydro
China,Baoshan Longling Gongyanghe 3rd Hydro,16,24.2076,98.7909,Hydro
China,Baoshan Supahe Chaoyang,40,24.4244,98.7592,Hydro
China,Baoshan Works power station,1050,31.4424,121.4361,Coal
China,Baosteel Zhanjiang power station,700,21.0699,110.494,Coal
China,Baotou Aluminum power station,1360,40.5572,110.1484,Coal
China,Baotou Donghua power station,600,40.5781,110.0738,Coal
China,Baotou East Hope power station,1320,40.5956,109.7828,Coal
China,Baotou Hexi power station,1200,40.5694,109.79,Coal
China,Baotou Olefins power station,600,40.6081,109.6368,Coal
China,Baotou Works power station,200,40.6601,109.7585,Coal
China,Baozhusi,700,32.52,105.61,Hydro
China,Bapanxia,220,36.14,103.41,Hydro
China,Baqiao power station,850,34.2851,109.0496,Coal
China,Bashan Dam,140,32.1022,108.4624,Hydro
China,Baxianyuan,27,33.3948,107.213,Hydro
China,Bayanhua Jinshan power station,1200,44.9317,118.7082,Coal
China,Bayannaoer Chuanjingsumu 3 Wind,49,41.95,108.27,Wind
China,Bayannaoer Chuanjingsumu Wind,49,41.9783,118.285,Wind
China,Bayannur Wulanyiligeng Wind Farm,300,42.03,108.38,Wind
China,Bayanur Wuliji Wind Phase 2,49,41.5333,106.4167,Wind
China,Bayinhanggai,43.5,41.83,108.34,Wind
China,Bayinxile,44,41.11,112.48,Wind
China,Beian power station,100,48.2328,126.5287,Coal
China,Beihai Bebuwan power station,640,21.5821,109.581,Coal
China,Beihai New Area Heating power station,900,38.0229,117.9726,Coal
China,Beijing - Northeast Gas,1400,39.95,116.62,Gas
China,Beijing - Northwest,2100,39.9417,116.1257,Gas
China,Beijing - Shijingshan Coal,880,39.923,116.1375,Coal
China,Beijing - Southeast Gas,700,39.89,116.27,Gas
China,Beijing - Yizhuang Gas,150,39.78,116.5,Gas
China,Beijing Energy Huitengxile Wind,49,41.2025,112.6783,Wind
China,Beijing Guanting Wind Phase 2,85,40.3375,115.675,Wind
China,Beijing No 3,400,39.81,116.14,Gas
China,Beijing Taiyanggong Trigeneration,780,39.98,116.44,Gas
China,Beijing Yanqing Low Windspeed Pilot,15,40.3761,115.8182,Wind
China,Beiping Hydro Electric,25,31.9743,108.6971,Hydro
