Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Aba Minjiang River Jiangseba,128,31.4837,103.6032,Hydro
China,Abag Banner Huiteng Liang Phase 1,49,43.35,115.9,Wind
China,Ahai,4750,27.3488,100.5061,Hydro
China,Alashan,9,34.5434,102.6284,Hydro
China,Alashanzuoqi Bayanha,20,39.14,105.95,Solar
China,Angu,772,29.52,103.64,Hydro
China,Anguoer,25,35.2327,103.5145,Hydro
China,Anhui Laian Baoshan Wind,49,32.6739,118.4318,Wind
China,Anhui Laian Longtougang Wind,49,32.601,118.535,Wind
China,Anhui Laian Longwosi Wind,49,32.67,118.45,Wind
China,Anjiang,140,27.2869,110.0994,Hydro
China,Ankang,800,32.6,108.88,Hydro
China,Anning River Canyon (Phase 1) Dechang County,16,27.128,102.977,Wind
China,Anning River Wanao Xichang City,33,27.5667,102.1922,Hydro
China,Anningdu Hydro,20,32.1131,109.5711,Hydro
China,Ansai Wangjiawan,49,37.2436,109.0554,Wind
China,Ansha Dam,115,26.0279,117.1125,Hydro
China,Antu 303,6,42.5611,128.2203,Hydro
China,Antu Gudonghe I Hydro,3,42.7547,128.1975,Hydro
China,Baibuluo,111.75,41.16,114.37,Wind
China,Baiguoshu,6,28.4625,108.5092,Hydro
China,Baihetan Dam,13050,28.2606,103.6484,Hydro
China,Baihugou Small,12,31.9706,110.3322,Hydro
China,Bailanhe,1200,30.6,115.45,Hydro
China,Bailianhe,300,30.59,115.45,Hydro
China,Bailongtan,192,23.86,108.13,Hydro
China,Baimianxia Shaanxi,4,33.0527,107.9625,Hydro
China,Baise,540,23.927,106.4557,Hydro
China,Baishan,1500,42.73,127.22,Hydro
China,Baishi,30,40.9583,121.1056,Wind
China,Baishi (Guizhou) Dam,420,26.9558,109.4709,Hydro
China,Baishi (Liaoning) Dam,9.6,41.6794,121.0039,Hydro
China,Baishui River Shiji,32,33.0178,113.4861,Hydro
China,Baiyang Songpan Sichuan,30,32.1847,104.1042,Hydro
China,Baiyun Ebo Inner Mongolia Luneng Phase 2,49,41.6778,109.9572,Wind
China,Baiyunebo,45,41.7061,109.9742,Wind
China,Banduo,360,35.31,100.27,Hydro
China,Banmei,52.8,23.02,116.55,Wind
China,Banna Liusha River Fifth Level,8,22.1531,100.6931,Hydro
China,Baoquan,1200,35.48,113.48,Hydro
China,Baoshan Longling Gongyanghe 3rd Hydro,16,24.2076,98.7909,Hydro
China,Baoshan Supahe Chaoyang,40,24.4244,98.7592,Hydro
China,Baozhusi,700,32.52,105.61,Hydro
China,Bapanxia,220,36.14,103.41,Hydro
China,Bashan Dam,140,32.1022,108.4624,Hydro
China,Baxianyuan,27,33.3948,107.213,Hydro
China,Bayannaoer Chuanjingsumu 3 Wind,49,41.95,108.27,Wind
China,Bayannaoer Chuanjingsumu Wind,49,41.9783,118.285,Wind
China,Bayannur Wulanyiligeng Wind Farm,300,42.03,108.38,Wind
China,Bayanur Wuliji Wind Phase 2,49,41.5333,106.4167,Wind
China,Bayinhanggai,43.5,41.83,108.34,Wind
China,Bayinxile,44,41.11,112.48,Wind
China,Beijing Energy Huitengxile Wind,49,41.2025,112.6783,Wind
China,Beijing Guanting Wind Phase 2,85,40.3375,115.675,Wind
China,Beijing Yanqing Low Windspeed Pilot,15,40.3761,115.8182,Wind
China,Beiping Hydro Electric,25,31.9743,108.6971,Hydro
China,Beizhen Jiazishan Wind,49,41.6242,121.8569,Wind
China,Beizhen Yangjiadian Wind,49,41.707,121.858,Wind
China,Bikou,300,32.76,105.22,Hydro
China,Binxian Dadingshan,49,45.8361,126.9278,Wind
China,CECEP Gansu Wuwei,20,38.11,102.27,Solar
China,CECEP Qinghai Dachaidan,20,37.18,95.309,Solar
China,CECIC Shizuishan Phase 1,10,39.34,106.74,Solar
China,CECIC Taiyangshan Phase 1,10,37.5,106.55,Solar
China,CGN Aletai Ginghe Phase I,20,46.3,90.038,Solar
China,CGN Damao Bailingmiao,20,41.61,110.4,Solar
China,CGN Dunhuang,10,40.07,94.518,Solar
China,CGN Dunhuang Phase II,9,40.11,94.478,Solar
China,CGN Jinta Hongliuwa,9,39.96,98.993,Solar
China,CGN Kashi Yingjisha Phase I,20,38.95,75.796,Solar
China,CTGNE Golmud phase II,20,36.38,95.265,Solar
China,CTGNE Pishan Phase I,20,37.54,78.249,Solar
China,CTGNE Shanshan Phase I,20,42.97,89.999,Solar
China,Caishenliang Wind Inner Mongolia,49,40.795,112.725,Wind
China,Caoduozi,44.5,41.2,112.68,Wind
China,Caojie On Jiangling River Chongqing City,500,29.9036,106.3901,Hydro
China,Cecep Gansu Yumen Changma Daba South,48,40.0143,96.7164,Wind
China,Cecep Urumqi Tuoli200Mw Phase 2 Wind,49,43.5056,87.7011,Wind
China,Cecep Zhangbei Danjinghe Phase 2,49,41.2731,114.3392,Wind
China,Cecic Wuhan,2,30.608,114.419,Solar
