Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
Germany,Abensberg Solar Power Plant,1.2,48.8082,11.9373,Solar
Germany,Ahlhorn Solar Power Plant,50,52.8886,8.2334,Solar
Germany,Ahorn Solar Power Plant,6.4,49.4594,9.5163,Solar
Germany,Aidenbach Solar Power Plant,1.7,48.5727,13.0717,Solar
Germany,Albersreuth Solar Power Plant,3.7,49.2979,10.9331,Solar
Germany,Alitzheim Solar Power Plant,8.5,49.9294,10.3305,Solar
Germany,Allmanshofen Solar Power Plant,16.7,48.6148,10.8382,Solar
Germany,Allstedt Solar Power Plant,19.2,51.386,11.4476,Solar
Germany,Altdï¿½bern Solar Power Plant,1.3,51.647,14.002,Solar
Germany,Altenburg Flugplatz Solar Power Plant,12.1,50.9894,12.5103,Solar
Germany,Altenburg Kieswerk Solar Power Plant,4.4,50.9796,12.4985,Solar
Germany,Altheim,17.8,51.5365,14.3829,Hydro
Germany,Althen Solar Power Plant,7.3,51.3457,12.5171,Solar
Germany,Alzwerke GmbH,45,48.1769,12.8405,Hydro
Germany,Ammerland Solar Power Plant,20.8,53.1799,8.1601,Solar
Germany,Amrumbank West,301.32,54.5,7.7999,Wind
Germany,Angermï¿½nde Solar Power Plant,1.7,53.0008,13.9981,Solar
Germany,Anklam Solar Power Plant,7.9,53.8347,13.6657,Solar
Germany,Apfelborn Solar Power Plant,2,51.5923,11.5474,Solar
Germany,Artern Solar Power Plant,4.9,51.3606,11.3131,Solar
Germany,Aschheim Solar Power Plant,1,48.1862,11.714,Solar
Germany,Attenkirchen Solar Power Plant,2,48.5182,11.7475,Solar
Germany,Aufkirchen,27,48.3067,11.8588,Hydro
Germany,Aufroth Solar Power Plant,1.4,48.9614,12.5529,Solar
Germany,BARD Offshore 1,400,54.36,5.98,Wind
Germany,BKF,12.4,50.1294,8.7679,Biomass
Germany,BMHKW-BinderHolz,15.1,48.7912,11.5068,Biomass
Germany,BMHKW-RE Recklinghausen,14,51.604,7.2508,Biomass
Germany,BMK LÃ¼nen,20,51.614,7.4813,Biomass
Germany,BMKW Bergkamen,17.7,51.637,7.6188,Biomass
Germany,BMKW FlÃ¶rsheim Wicker,12.6,50.0226,8.3772,Biomass
Germany,BMKW KÃ¶nigs Wusterhausen,17.1,52.3048,13.636,Biomass
Germany,BMKW Mannheim,17.9,49.5164,8.4602,Biomass
Germany,Bachhagel Solar Power Plant,1.8,48.6281,10.3384,Solar
Germany,Bad Aibling Solar Power Plant,2.3,47.8798,11.9799,Solar
Germany,Bad Dï¿½rrheim Solar Power Plant,1.6,47.9933,8.6037,Solar
Germany,Bad Endbach Solar Power Plant,7.3,50.7606,8.5209,Solar
Germany,Bad Wildungen Solar Power Plant,1.6,51.1263,9.1506,Solar
Germany,Baltic 2,288,54.983,13.162,Wind
Germany,Bandenitz Solar Power Plant,6,53.4846,11.2834,Solar
Germany,Barderup Solar Power Plant,22.8,54.7112,9.4004,Solar
Germany,Barlt Solar Power Plant,2.2,54.0218,9.031,Solar
Germany,Barth Solar Power Plant,10.2,54.3434,12.7152,Solar
Germany,Beerfelden Solar Power Plant,1.4,49.56,8.9561,Solar
Germany,Beilingen Solar Power Plant,2.1,49.9496,6.6737,Solar
Germany,Bergheim,23.7,48.7508,11.2732,Hydro
Germany,Bergrheinfeld - S&Z Solar Power Plant,2.4,49.9889,10.1566,Solar
Germany,Bernburg Solar Power Plant,10,51.7999,11.7142,Solar
Germany,Bertoldsheim,18.9,48.7359,11.0209,Hydro
Germany,Biederbach Solar Power Plant,5.6,49.2042,10.7331,Solar
Germany,Bigge,15,51.0932,7.8627,Hydro
Germany,Bio HKW Herbrechtingen,14,48.6285,10.2009,Biomass
Germany,BioEnergie Park Klarsee,17.8,53.3,14.25,Biomass
Germany,BioHKW I,13.2,48.397,9.9648,Biomass
Germany,Biomass Generator #10,12.9,50.4978,11.6562,Biomass
Germany,Biomass Generator #15,28.4,49.5154,9.3252,Biomass
Germany,Biomass Generator #16,10.2,51.9201,11.8018,Biomass
Germany,Biomass Generator #17,40,51.5152,12.3248,Biomass
Germany,Biomass Generator #19,20,52.8515,13.7781,Biomass
Germany,Biomass Generator #2,15.7,48.6283,10.2008,Biomass
Germany,Biomass Generator #20,12.6,51.4662,13.5046,Biomass
Germany,Biomass Generator #21,18.3,52.1827,14.2584,Biomass
Germany,Biomass Generator #22,53.5,51.4901,10.4129,Biomass
Germany,Biomass Generator #23,11.4,51.8554,6.8887,Biomass
Germany,Biomass Generator #3,19.7,53.1511,12.3771,Biomass
Germany,Biomass Generator #4,19.9,51.8848,8.9567,Biomass
Germany,Biomass Generator #5,12.4,49.9713,8.0606,Biomass
Germany,Biomass Generator #6,9.6,48.4933,11.1766,Biomass
Germany,Biomass Generator #7,12.1,51.205,6.7085,Biomass
Germany,Biomass Generator #8,14,50.7021,8.0732,Biomass
Germany,Biomass Generator #9,18.8,49.0115,9.6718,Biomass
Germany,Biomasse-Heizkraftwerk Malchin,9.8,53.7419,12.783,Biomass
Germany,Biomasse-Verstromungs-Anlage,20,51.35,7.45,Biomass
Germany,Biomasseheizkraftwerk Piesteritz,18.1,51.8712,12.6185,Biomass
Germany,Biomassekraftwerk Bischofferode,18.1,51.4899,10.4131,Biomass
Germany,Birkig Solar Power Plant,1.2,50.2897,11.1191,Solar
Germany,Bischwind Solar Power Plant,1.7,50.1632,10.8031,Solar
Germany,Bittenbrunn,20.2,48.7345,11.1438,Hydro
Germany,Bitterfeld-Wolfen - GP Joule Solar Power Plant,3,51.6166,12.3076,Solar
Germany,Bitterfeld-Wolfen - Hinter dem Bahnhof Solar Power Plant,6,52.1123,13.0665,Solar
Germany,Bleiloch,79.8,50.5244,11.7144,Hydro
Germany,Blockheizkraftwerk 1,2,49.9882,9.1558,Biomass
Germany,Bogel Solar Power Plant,1.7,50.1886,7.8093,Solar
Germany,Bordelum Solar Power Plant,3.2,54.6194,8.9337,Solar
Germany,Borkum Riffgrund I,312,53.9667,6.55,Wind
Germany,Borna Solar Power Plant,3.5,51.1284,12.4726,Solar
Germany,Bosbï¿½ll Solar Power Plant,4.4,54.8125,8.8474,Solar
Germany,Brandenburg (Havel) Solar Power Plant,20,52.4037,12.5165,Solar
Germany,Braschwitz Solar Power Plant,8,51.5183,12.0639,Solar
Germany,Braunau-Simbach,50,48.0638,10.1284,Hydro
Germany,Breitungen Solar Power Plant,3.6,50.7789,10.3287,Solar
Germany,Brenz Solar Power Plant,7.5,53.3835,11.6402,Solar
