Entity,Code,Year,Wind,Hydro,Solar,Others,Total
China,CHN,1965,0,22.097,0,0,22.097
China,CHN,1966,0,22.486,0,0,22.486
China,CHN,1967,0,19.383,0,0,19.383
China,CHN,1968,0,22.87,0,0,22.87
China,CHN,1969,0,23.259,0,0,23.259
China,CHN,1970,0,24.037,0,0,24.037
China,CHN,1971,0,29.075,0,0,29.075
China,CHN,1972,0,32.951,0,0,32.951
China,CHN,1973,0,36.827,0,0,36.827
China,CHN,1974,0,41.675,0,0,41.675
China,CHN,1975,0,43.611,0,0,43.611
China,CHN,1976,0,44.194,0,0,44.194
China,CHN,1977,0,46.134,0,0,46.134
China,CHN,1978,0,43.226,0,0,43.226
China,CHN,1979,0,48.556,0,0,48.556
China,CHN,1980,0,58.221,0,0,58.221
China,CHN,1981,0,65.513,0,0,65.513
China,CHN,1982,0,74.414,0,0,74.414
China,CHN,1983,0,86.417,0,0,86.417
China,CHN,1984,0,86.815,0,0,86.815
China,CHN,1985,0,92.388,0,0,92.388
China,CHN,1986,0,94.549,0,0,94.549
China,CHN,1987,0,100.024,0,0,100.024
China,CHN,1988,0,109.168,0,0,109.168
China,CHN,1989,0,118.409,0,0,118.409
China,CHN,1990,0.002,126.744,0.002,0.064,126.812
China,CHN,1991,0.009,124.689,0.002,0.064,124.764
China,CHN,1992,0.131,130.686,0.003,0.113,130.933
China,CHN,1993,0.212,151.846,0.004,0.117,152.179
China,CHN,1994,0.384,167.429,0.005,0.46,168.278
China,CHN,1995,0.616,190.58,0.007,3.014,194.217
China,CHN,1996,0.094,187.97,0.009,1.533,189.606
China,CHN,1997,0.198,195.98,0.011,2.722,198.911
China,CHN,1998,0.356,198.89,0.014,2.48,201.74
China,CHN,1999,0.474,196.58,0.017,2.52,199.591
China,CHN,2000,0.59,222.41,0.02,2.537,225.557
China,CHN,2001,0.72,277.43,0.03,2.554,280.734
China,CHN,2002,0.84,287.97,0.05,2.546,291.406
China,CHN,2003,1,283.68,0.06,2.536,287.276
China,CHN,2004,1.28,353.54,0.08,2.528,357.428
China,CHN,2005,1.95,397.02,0.08,5.322,404.372
China,CHN,2006,3.71,435.79,0.09,7.133,446.723
China,CHN,2007,5.48,485.26,0.11,9.863,500.713
China,CHN,2008,13.1,636.96,0.15,14.866,665.076
China,CHN,2009,27.61,615.64,0.28,20.859,664.389
China,CHN,2010,49.4,711.38,0.7,24.9,786.38
China,CHN,2011,74.1,688.04,2.61,27.632,792.382
China,CHN,2012,103.05,862.79,3.59,30.133,999.563
China,CHN,2013,138.26,909.61,8.37,37.133,1093.373
China,CHN,2014,159.76,1059.69,23.51,46.268,1289.228
China,CHN,2015,185.59,1114.52,39.48,54.07,1393.66
China,CHN,2016,240.86,1153.27,66.53,62.135,1522.795
China,CHN,2017,304.6,1165.06,117.8,79.597,1667.057
China,CHN,2018,365.8,1198.89,176.9,93.724,1835.314
China,CHN,2019,405.3,1272.54,224,112.724,2014.564
China,CHN,2020,466.5,1322.01,261.1,135.524,2185.134
China,CHN,2021,614.18,1297.41,330.71,,2242.3
