Entity,Code,Year,Wind,Hydro,Solar,Others,Total
Germany,DEU,1965,0,16.212,0,0,16.212
Germany,DEU,1966,0,17.534,0,0,17.534
Germany,DEU,1967,0,16.652,0,0,16.652
Germany,DEU,1968,0,16.899,0,0,16.899
Germany,DEU,1969,0,13.713,0,0,13.713
Germany,DEU,1970,0,17.534,0,0.92,18.454
Germany,DEU,1971,0,13.455,0,1.001,14.456
Germany,DEU,1972,0,13.206,0,1.019,14.225
Germany,DEU,1973,0,15.229,0,1.053,16.282
Germany,DEU,1974,0,17.638,0,1.076,18.714
Germany,DEU,1975,0,17.059,0,1.125,18.184
Germany,DEU,1976,0,13.847,0,1.278,15.125
Germany,DEU,1977,0,17.582,0,1.247,18.829
Germany,DEU,1978,0,18.362,0,1.317,19.679
Germany,DEU,1979,0,18.384,0,1.443,19.827
Germany,DEU,1980,0,19.069,0,1.966,21.035
Germany,DEU,1981,0,19.915,0,1.804,21.719
Germany,DEU,1982,0,19.738,0,1.799,21.537
Germany,DEU,1983,0,18.712,0,1.54,20.252
Germany,DEU,1984,0,18.479,0,1.643,20.122
Germany,DEU,1985,0,17.401,0,1.644,19.045
Germany,DEU,1986,0.001,18.572,0,1.596,20.169
Germany,DEU,1987,0.002,20.343,0,1.446,21.791
Germany,DEU,1988,0.008,20.079,0,1.638,21.725
Germany,DEU,1989,0.026,18.244,0,1.749,20.019
Germany,DEU,1990,0.07,17.43,0,1.6,19.1
Germany,DEU,1991,0.22,14.89,0,1.87,16.98
Germany,DEU,1992,0.29,17.4,0,2.04,19.73
Germany,DEU,1993,0.67,17.88,0,1.97,20.52
Germany,DEU,1994,1.43,19.93,0.01,2.07,23.44
Germany,DEU,1995,1.71,21.78,0.01,2.43,25.93
Germany,DEU,1996,2.08,21.96,0.01,2.5,26.55
Germany,DEU,1997,3.03,17.36,0.02,2.65,23.06
Germany,DEU,1998,4.59,17.22,0.04,3.06,24.91
Germany,DEU,1999,5.53,19.65,0.03,3.51,28.72
Germany,DEU,2000,9.35,21.73,0.06,4.33,35.47
Germany,DEU,2001,10.46,22.73,0.12,4.59,37.9
Germany,DEU,2002,15.86,23.12,0.19,5.31,44.48
Germany,DEU,2003,19.09,18.32,0.31,8.95,46.67
Germany,DEU,2004,26.02,20.75,0.56,10.64,57.97
Germany,DEU,2005,27.77,19.64,1.28,14.71,63.4
Germany,DEU,2006,31.32,20.03,2.22,18.94,72.51
Germany,DEU,2007,40.51,21.17,3.08,24.62,89.38
Germany,DEU,2008,41.38,20.44,4.42,28.04,94.28
Germany,DEU,2009,39.42,19.03,6.58,30.91,95.94
Germany,DEU,2010,38.55,20.95,11.73,33.95,105.18
Germany,DEU,2011,49.86,17.67,19.6,36.91,124.04
Germany,DEU,2012,51.68,21.75,26.38,43.23,143.04
Germany,DEU,2013,52.74,23,31.01,45.59,152.34
Germany,DEU,2014,58.5,19.59,36.06,48.39,162.54
Germany,DEU,2015,80.62,18.98,38.73,50.46,188.79
Germany,DEU,2016,79.92,20.55,38.1,51.1,189.67
Germany,DEU,2017,105.69,20.15,39.4,51.08,216.32
Germany,DEU,2018,109.95,17.69,43.46,50.97,222.07
Germany,DEU,2019,125.89,19.73,44.38,50.33,240.33
Germany,DEU,2020,132.1,18.32,48.64,51.09,250.15
