Country,Code,Year,Renewables,Hydro,Solar,Wind,Others
Germany,DEU,1985,3.645,3.33,0,0,0.315
Germany,DEU,1986,3.852,3.547,0,0,0.305
Germany,DEU,1987,4.093,3.821,0,0,0.272
Germany,DEU,1988,3.954,3.654,0,0.001,0.299
Germany,DEU,1989,3.576,3.259,0,0.005,0.312
Germany,DEU,1990,3.493,3.188,0,0.013,0.292
Germany,DEU,1991,3.169,2.779,0,0.041,0.349
Germany,DEU,1992,3.697,3.261,0,0.054,0.382
Germany,DEU,1993,3.927,3.422,0,0.128,0.377
Germany,DEU,1994,4.463,3.795,0.002,0.272,0.394
Germany,DEU,1995,4.867,4.088,0.002,0.321,0.456
Germany,DEU,1996,4.821,3.988,0.002,0.378,0.453
Germany,DEU,1997,4.208,3.168,0.004,0.553,0.483
Germany,DEU,1998,4.51,3.117,0.007,0.831,0.555
Germany,DEU,1999,5.198,3.556,0.005,1.001,0.636
Germany,DEU,2000,6.198,3.797,0.01,1.634,0.757
Germany,DEU,2001,6.513,3.906,0.021,1.798,0.788
Germany,DEU,2002,7.643,3.973,0.033,2.725,0.912
Germany,DEU,2003,7.746,3.04,0.051,3.168,1.487
Germany,DEU,2004,9.499,3.4,0.092,4.264,1.743
Germany,DEU,2005,10.336,3.202,0.209,4.527,2.398
Germany,DEU,2006,11.513,3.18,0.352,4.973,3.008
Germany,DEU,2007,14.135,3.348,0.487,6.407,3.893
Germany,DEU,2008,14.889,3.228,0.698,6.535,4.428
Germany,DEU,2009,16.29,3.231,1.117,6.693,5.249
Germany,DEU,2010,16.838,3.354,1.878,6.172,5.434
Germany,DEU,2011,20.497,2.92,3.239,8.239,6.099
Germany,DEU,2012,23.056,3.506,4.252,8.33,6.968
Germany,DEU,2013,24.137,3.644,4.913,8.356,7.224
Germany,DEU,2014,26.218,3.16,5.817,9.436,7.805
Germany,DEU,2015,29.472,2.963,6.046,12.586,7.877
Germany,DEU,2016,29.499,3.196,5.926,12.43,7.947
Germany,DEU,2017,33.486,3.119,6.099,16.36,7.908
Germany,DEU,2018,35.098,2.796,6.869,17.377,8.056
Germany,DEU,2019,40.089,3.291,7.403,21,8.395
Germany,DEU,2020,44.312,3.245,8.616,23.4,9.051
